ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-07-11,50,111020,498,Employed,Associate,28,23552,12,Married,4,Rent,496,0.2366543880261757,1,2,0.4521291285619364,0,Other,0,23,24,2429,1167,43095,13083,9251.666666666666,0.9291366372969364,2,30012,0.239552,0.2426045555361136,2230.0372998322887,0.2946536443702708,1,44.0
2018-07-12,42,54202,553,Unemployed,High School,20,12176,60,Single,0,Rent,292,0.1763074530890557,8,1,0.0518711996149119,1,Auto,0,22,9,4326,727,39483,98490,4516.833333333333,0.8493880497599409,8,4212,0.240676,0.2390079793513072,349.5780008176501,0.142041548463374,0,65.0
2018-07-13,25,36184,620,Employed,Master,6,38807,48,Single,3,Other,210,0.7300222752172015,5,1,0.2278326411523714,0,Debt Consolidation,0,38,9,2111,611,68351,27576,3015.333333333333,0.7871618924099528,5,40775,0.223807,0.1955250823367451,1171.6784528528517,0.4582174838114696,0,53.0
2018-07-14,42,56320,603,Employed,Master,16,21883,60,Married,0,Rent,653,0.1184361050740646,3,1,0.06966193937591,0,Auto,0,31,12,2478,1449,326068,11532,4693.333333333333,0.8841559886152924,4,314536,0.225383,0.2004524056328795,580.3166457165904,0.2627805353089326,1,32.0
2018-07-15,44,111257,487,Employed,Associate,22,18609,60,Single,0,Mortgage,525,0.4198730262830971,2,0,0.1859452564174194,0,Education,0,25,17,1370,300,24626,30649,9271.416666666666,0.9278688196147796,5,1850,0.280109,0.2739642111241815,572.6492834670111,0.1183906756572991,1,40.0
2018-07-16,29,55172,606,Employed,Bachelor,6,40220,36,Married,0,Mortgage,317,0.5136802341383394,4,6,0.5761166993738129,0,Auto,0,31,9,14454,1521,82416,8200,4597.666666666667,0.8553367080777702,4,74216,0.22222,0.2238548220091063,1544.0523603590204,0.4047819242425187,0,55.0
2018-07-17,41,29020,583,Employed,High School,16,16570,60,Married,2,Mortgage,158,0.2277590061052535,2,1,0.1737664767520638,0,Home,0,23,4,713,862,22214,10612,2418.333333333333,0.9384970548532756,5,11602,0.23007,0.2319091366619266,468.9354160461152,0.2592427633546996,0,55.0
2018-07-18,40,19990,564,Employed,Bachelor,22,11236,24,Divorced,2,Mortgage,511,0.4284277726311846,2,1,0.26027699018118,0,Debt Consolidation,0,28,15,1477,5786,100659,7602,1665.8333333333333,0.885167782272192,4,93057,0.2042359999999999,0.1917589524471055,567.3519040174446,0.6473348098153745,0,53.0
2018-07-19,26,196442,600,Employed,Associate,5,25519,24,Single,1,Mortgage,326,0.3204075085915293,4,1,0.169365098745828,0,Auto,1,25,19,4763,4810,9573,128864,16370.166666666666,0.7471741389470106,9,6837,0.2005189999999999,0.1991451713628076,1297.7445643696772,0.0991892506309044,1,40.8
2018-07-20,44,21725,630,Employed,Bachelor,22,38766,48,Single,0,Rent,206,0.1902325394109812,6,1,0.427326575550395,0,Auto,0,10,13,2332,494,90534,37492,1810.4166666666667,0.8438441020682367,8,53042,0.218766,0.2393707184393972,1262.49450831775,0.8111362071260299,0,52.0
2018-07-21,46,49098,472,Employed,Associate,24,31990,72,Married,3,Mortgage,352,0.2929852555840478,2,1,0.1264628873651131,0,Debt Consolidation,1,27,24,11754,2781,22172,20084,4091.5,0.8471082963933592,1,2088,0.31099,0.3325893200448405,1030.5820787313603,0.337915698089053,0,57.0
2018-07-22,52,33061,640,Employed,Associate,30,11580,36,Married,3,Own,384,0.1881890183046389,5,2,0.3052513339718397,0,Auto,0,19,25,9144,801,144771,65760,2755.083333333333,0.6461158552889833,5,79011,0.17658,0.1633509619367268,409.0368044064393,0.2878449427687387,1,39.2
2018-07-23,52,91077,550,Employed,High School,27,37597,36,Single,4,Other,917,0.1093319496441065,1,2,0.1155737778099784,0,Home,0,22,4,3363,431,17299,34929,7589.75,0.8957328473623475,6,5342,0.2475969999999999,0.2917773553027493,1579.166586928455,0.3288865360424856,0,51.0
2018-07-24,23,17270,593,Employed,High School,0,28352,36,Single,2,Own,858,0.3652840764368677,5,2,0.2443503106211836,0,Home,0,24,29,24249,1912,38825,12998,1439.1666666666667,0.3816037498559934,3,25827,0.216852,0.2081576912327205,1065.4835388311126,1.336525910015828,0,54.0
2018-07-25,28,137635,622,Employed,Master,4,12414,48,Divorced,2,Own,285,0.4682036444396825,6,1,0.3663117190145242,0,Home,0,18,8,1133,4015,13939,5554,11469.583333333334,0.7127733371603431,5,8385,0.196414,0.1571312,349.9949757257945,0.0553633865565411,1,40.8
2018-07-26,46,44523,613,Unemployed,High School,23,12648,96,Married,3,Mortgage,90,0.153657113448369,2,0,0.4228086860980984,0,Home,0,30,28,2266,1008,25164,36282,3710.25,0.7801071390232356,4,6932,0.2411479999999999,0.255169233101834,310.0847435991121,0.1078322872041269,0,56.0
2018-07-27,46,40998,576,Employed,High School,26,29172,48,Single,1,Mortgage,463,0.1263456167828552,3,2,0.7110837126016447,0,Debt Consolidation,0,23,18,2493,1858,16901,30888,3416.5,0.4978172523342333,5,7970,0.236172,0.2459671028204983,960.7096341553024,0.4167158302810778,0,58.0
2018-07-28,46,49839,558,Employed,Associate,28,34869,108,Single,3,Rent,565,0.2884886563663097,1,1,0.2604730757857563,1,Auto,0,26,20,15200,651,15851,29182,4153.25,0.9087468170605876,5,5439,0.3008689999999999,0.3424608063374542,1045.1508480046432,0.3876845477649174,0,65.0
2018-07-29,80,48462,656,Employed,Associate,61,29111,72,Married,4,Rent,477,0.353579875365987,3,4,0.2842673053306766,0,Auto,0,19,15,3972,2076,45290,66211,4038.5,0.8863451980299596,7,5097,0.216111,0.1899805665985479,680.4873932461569,0.2866131962971788,0,47.0
2018-07-30,46,37268,535,Employed,Bachelor,23,26549,48,Married,0,Rent,504,0.1098719155051626,2,2,0.1041444162817191,0,Debt Consolidation,1,19,12,652,2447,29282,10542,3105.6666666666665,0.9183330891399824,8,18740,0.2540489999999999,0.2238586816278152,842.0263949487166,0.4334098083982129,0,56.0
2018-07-31,53,85512,628,Employed,Associate,30,20367,48,Single,1,Own,338,0.218746724578068,3,2,0.314813123032829,0,Auto,0,30,8,2369,1188,149155,52247,7126.0,0.9098410543966694,8,96908,0.201367,0.1827115438642391,601.170280360447,0.1317948751558303,1,39.2
2018-08-01,51,16619,617,Employed,High School,29,22186,48,Widowed,5,Rent,236,0.2814973113910139,5,2,0.0923775684443923,0,Home,0,23,20,10910,2098,54770,43575,1384.9166666666667,0.7843475856359179,3,11195,0.208686,0.2159272323019583,694.0975599191905,0.6715909933828922,0,49.0
2018-08-02,47,30548,490,Employed,High School,25,22280,84,Married,0,Own,920,0.0219195364517921,1,1,0.2121940899911138,0,Other,0,28,26,1701,2417,21711,29011,2545.6666666666665,0.711992803188666,2,6851,0.30228,0.3115623202919041,654.4659852730042,0.618488667777794,0,52.0
2018-08-03,36,108416,604,Unemployed,High School,9,60460,72,Married,0,Own,292,0.3449637152710574,2,1,0.1838290160975602,0,Debt Consolidation,0,22,25,48211,772,67394,5965,9034.666666666666,0.8715322121515355,3,61429,0.27346,0.2276942600447083,1546.8605739872908,0.2035338592813559,0,47.0
2018-08-04,49,56255,571,Employed,Associate,28,14526,24,Married,0,Rent,573,0.0985992669510242,3,0,0.0093003330729739,0,Auto,0,19,4,23933,658,366111,44654,4687.916666666667,0.7498457630545147,3,321457,0.204026,0.2069037610684566,744.2206980295687,0.2809821060591027,1,36.8
2018-08-05,30,35795,510,Employed,Master,6,18086,36,Married,2,Rent,239,0.0966267479022237,6,0,0.4044209770522251,0,Debt Consolidation,0,22,15,1038,4134,165933,34105,2982.9166666666665,0.8111418756881282,4,131828,0.248086,0.2464074522103515,715.6642372405776,0.3200438845337877,0,52.0
2018-08-06,37,20882,566,Employed,High School,14,23838,48,Divorced,2,Mortgage,671,0.1278379308546393,3,2,0.2458156813281793,0,Home,0,24,25,2011,536,144098,56021,1740.1666666666667,0.7844869387345216,7,88077,0.235838,0.2183961233627674,748.9677587509717,0.8159952641036137,0,51.0
2018-08-07,34,21573,522,Employed,Bachelor,12,12419,48,Divorced,0,Other,194,0.4329456346470891,4,1,0.4087024481540232,0,Education,0,28,15,2935,229,51753,3910,1797.75,0.9201862929842988,7,47843,0.246419,0.2317055964553329,399.2086431943682,0.3299728233594038,0,59.0
2018-08-08,40,86157,535,Employed,Bachelor,15,16775,36,Married,2,Mortgage,370,0.2801244623624745,2,1,0.3294150353121829,0,Auto,0,26,12,3368,4485,106697,33353,7179.75,0.8526494039878054,5,73344,0.234275,0.2384193557901897,656.7397066687212,0.1430049384266473,1,40.8
2018-08-09,67,29708,626,Unemployed,High School,42,44904,108,Divorced,1,Rent,631,0.3895091098283876,6,0,0.1390383949919657,0,Debt Consolidation,0,16,11,1303,5039,98472,15326,2475.6666666666665,0.7511872487094747,8,83146,0.276904,0.3310455667053086,1307.9855698080833,0.7832175453647839,0,50.0
2018-08-10,18,77920,578,Employed,Bachelor,0,20677,36,Divorced,2,Rent,1093,0.2792779032275764,1,0,0.4797705757616276,0,Debt Consolidation,0,26,20,6127,2578,36486,94587,6493.333333333333,0.853444466213955,4,5109,0.216677,0.2341374477915227,804.8666365293196,0.2922792561390123,0,56.0
2018-08-11,48,35187,574,Employed,Bachelor,24,82538,48,Married,1,Mortgage,572,0.0401105443376594,2,2,0.2100346607236835,0,Auto,1,25,9,7826,502,24320,13229,2932.25,0.7158706722851017,4,11091,0.290538,0.28865160241305,2917.6330220354057,1.1900871419679109,0,59.0
2018-08-12,20,53299,544,Self-Employed,Bachelor,0,36261,36,Divorced,0,Mortgage,630,0.1186838574631247,0,2,0.4570036583948081,0,Home,0,25,24,3678,1968,175920,10093,4441.583333333333,0.7917061644382016,3,165827,0.2492609999999999,0.2819084233380511,1503.626162452273,0.4803751280404375,0,54.0
2018-08-13,34,54605,614,Employed,Master,11,12604,24,Single,1,Rent,462,0.5457376738243693,6,1,0.2270988899329032,0,Debt Consolidation,0,30,18,5395,399,13039,59277,4550.416666666667,0.8394215468961569,4,3640,0.180604,0.1572290460425053,615.463594081527,0.2367835020415405,1,40.0
2018-08-14,53,36754,505,Self-Employed,Associate,30,36455,36,Married,1,Mortgage,674,0.4390978532691305,0,0,0.1827675746410422,0,Debt Consolidation,0,34,14,3055,5057,138955,21422,3062.833333333333,0.7987333486812535,6,117533,0.2689549999999999,0.2821102033261037,1512.0686735034728,0.7137406563106512,0,51.0
2018-08-15,40,37426,601,Employed,High School,19,38810,24,Single,0,Mortgage,153,0.4950801071880365,3,0,0.2736874454580693,0,Home,0,12,25,6120,1145,171618,1466,3118.833333333333,0.6122977615148223,2,170152,0.2133099999999999,0.2112530049275279,1996.6664745119165,0.6892533985502858,0,47.0
2018-08-16,27,29512,545,Employed,Bachelor,5,28201,60,Single,1,Mortgage,455,0.0889262496027724,3,2,0.2382239805618368,0,Home,0,15,18,2290,5251,24830,65744,1250.0,0.7866230119630193,2,3661,0.260701,0.2985190609050124,909.8344899682252,1.0918675919745802,0,53.0
2018-08-17,31,34589,445,Employed,High School,10,91631,60,Married,3,Rent,285,0.4479217256116706,2,1,0.0712589500448839,0,Debt Consolidation,0,29,16,1428,1002,72147,55009,2882.4166666666665,0.913455211747474,3,17138,0.374131,0.3961850643979974,3527.670993195453,1.322734161679882,0,52.0
2018-08-18,48,56584,615,Unemployed,Associate,24,15122,36,Married,2,Mortgage,115,0.1711762535570972,4,1,0.4960157211226295,0,Education,0,25,25,6834,1269,122221,6443,4715.333333333333,0.9298064896215747,5,115778,0.192622,0.1810593174738126,547.5004526336796,0.1404991770041735,1,40.8
2018-08-19,31,32777,537,Employed,Master,9,27822,60,Divorced,2,Mortgage,392,0.3132684195484376,4,2,0.2064896020291528,0,Education,1,21,15,4771,4937,120149,5740,2731.4166666666665,0.8247088104386914,6,114409,0.264322,0.2260003462978678,777.9351424619464,0.4283254022498506,0,55.0
2018-08-20,42,70901,575,Self-Employed,Bachelor,22,20087,60,Married,0,Rent,582,0.4906214976465529,4,3,0.328179015710244,0,Home,0,29,4,12504,522,43108,19402,5908.416666666667,0.8960520067181497,5,23706,0.237587,0.2388286071848654,576.4971798101402,0.1960757416358257,0,61.0
2018-08-21,40,52184,574,Self-Employed,Associate,19,38284,48,Married,3,Rent,356,0.1458470952597986,5,1,0.1463717864147254,0,Other,0,16,3,7697,4696,135135,52369,4348.666666666667,0.9144261805436192,8,82766,0.246284,0.2282540717919997,1223.3993090306983,0.3631916240297482,0,53.0
2018-08-22,32,43451,506,Employed,High School,14,9077,36,Widowed,0,Rent,564,0.0995242227534924,2,2,0.2942756747702839,0,Other,0,23,1,1218,7400,58686,11575,3620.9166666666665,0.7059163665411841,5,47111,0.2410769999999999,0.2465643931734781,359.25265225918326,0.2549776029806034,0,56.0
2018-08-23,65,23881,599,Employed,High School,43,17067,60,Single,4,Own,678,0.1846329506343811,1,1,0.4103191980213574,0,Auto,0,23,26,22121,3206,38426,91806,1990.0833333333333,0.5809631132959967,4,5423,0.222567,0.2192841806674495,470.677622043141,0.5772007648137722,0,57.0
2018-08-24,47,44248,550,Self-Employed,High School,24,21565,36,Single,2,Rent,499,0.2125094044867889,5,0,0.2248814925018989,0,Debt Consolidation,0,28,12,41840,1886,70635,20206,3687.3333333333335,0.8720245133095422,5,50429,0.231565,0.2325997326288069,837.6999919731885,0.3625112977688994,0,54.0
2018-08-25,18,15885,551,Employed,Master,0,35284,84,Single,0,Other,264,0.2965692524382257,6,2,0.5418069239545946,0,Home,0,23,27,2316,3975,302488,23662,1323.75,0.8481466640486499,1,278826,0.284784,0.3252974997117367,1069.5813582736496,1.007426899545722,0,54.0
2018-08-26,42,39637,599,Employed,Doctorate,16,28863,24,Single,4,Mortgage,337,0.6577604508520756,4,1,0.1097211866260738,0,Other,0,25,7,823,554,197025,22402,3303.083333333333,0.7110369067251245,5,174623,0.204363,0.2450885830571364,1533.3588044053192,0.5662463267367316,0,50.0
2018-08-27,32,48777,549,Employed,Bachelor,8,32798,72,Divorced,3,Own,176,0.5015655330324704,4,0,0.2891038188839888,0,Auto,0,30,4,1382,446,100090,30965,4064.75,0.8044430879689629,4,69125,0.273298,0.2966013455898997,979.5255674957392,0.284279615596467,0,55.0
2018-08-28,50,43208,564,Employed,High School,26,13574,84,Married,3,Other,361,0.7222491660505085,4,1,0.3408269936918299,0,Debt Consolidation,0,33,6,2108,678,23314,73184,3600.6666666666665,0.7910425277768346,3,2671,0.2565739999999999,0.2052591999999999,305.74013303204976,0.1851713015271384,0,59.0
2018-08-29,30,18662,544,Employed,Bachelor,11,28715,60,Single,1,Rent,511,0.276851053054796,4,0,0.4274032839526854,0,Home,0,25,12,3730,149,94880,7676,1555.1666666666667,0.8929806884383118,7,87204,0.261715,0.2638703832786698,866.3323772508328,0.8856493691463935,0,56.0
2018-08-30,38,42209,582,Self-Employed,Master,16,29658,48,Divorced,0,Rent,395,0.2847731321367094,3,1,0.1850249718928613,0,Education,0,36,1,794,524,116610,14222,3517.4166666666665,0.9119749910208136,7,102388,0.233658,0.2439535391069458,973.3988690683142,0.3890351922296138,0,54.0
2018-08-31,46,99222,450,Employed,Master,24,44563,120,Married,1,Own,281,0.3917764046951245,1,0,0.2191393300069593,0,Debt Consolidation,0,32,21,8172,1353,20670,6849,8268.5,0.6635489236069669,5,13821,0.374563,0.4200912583711408,1585.5685649625368,0.2257445201623676,0,51.0
2018-09-01,50,27279,634,Employed,Bachelor,29,14474,72,Single,0,Mortgage,590,0.1014320071614884,3,0,0.1691377647178658,0,Debt Consolidation,0,21,28,1524,5782,117515,46510,2273.25,0.646644684799492,1,71005,0.212474,0.202603629054538,348.8810900902082,0.4130126867217456,0,46.0
2018-09-02,25,15000,603,Employed,Bachelor,4,33259,48,Single,2,Other,253,0.0631758511129543,1,1,0.1227545473949578,0,Other,1,19,9,2500,627,125998,47479,1250.0,0.5716952202493,3,78519,0.226759,0.2058863664135576,1022.5434681056088,1.0204347744844868,0,53.0
2018-09-03,35,75376,610,Employed,Bachelor,16,20920,36,Single,3,Mortgage,448,0.7454746291843386,4,0,0.5165433498225567,1,Debt Consolidation,0,22,8,1654,860,5522,12731,6281.333333333333,0.9102016146101432,4,4964,0.20092,0.1702407781881528,746.1057713721455,0.1901038693545126,0,70.0
2018-09-04,34,25096,602,Employed,High School,14,9999,96,Single,3,Mortgage,312,0.019379253449884,1,0,0.4168513557997069,0,Education,1,28,24,4662,1263,146709,21671,2091.333333333333,0.7724700101739357,1,125038,0.243999,0.2091181327784685,215.23157641023727,0.2521030808464634,0,56.0
2018-09-05,32,34817,606,Employed,Bachelor,8,36726,48,Married,0,Rent,570,0.2563830614063498,3,1,0.234471781352428,0,Home,0,26,1,3099,669,46874,110774,2901.4166666666665,0.8930420436236163,9,2880,0.228726,0.2587822324943619,1235.7869424730782,0.62238111582494,0,54.0
2018-09-06,61,68306,583,Employed,Bachelor,39,25261,24,Married,2,Mortgage,441,0.0375608964605936,3,3,0.594253569743979,0,Other,0,25,3,2656,298,24326,20178,5692.166666666667,0.8090083989784659,8,4148,0.208761,0.2155627725992596,1304.965383611198,0.3067312476698148,0,60.0
2018-09-07,44,58991,587,Employed,Bachelor,23,14635,48,Divorced,0,Mortgage,248,0.1062924249308045,4,2,0.2520384610441041,0,Education,0,29,10,5121,838,45657,53110,4915.916666666667,0.7084653846179451,6,2967,0.216135,0.2201880713062038,461.24088978667646,0.1442743923215425,1,40.8
2018-09-08,24,92237,622,Employed,Bachelor,2,29532,96,Divorced,0,Mortgage,417,0.4755624175986784,4,2,0.3514774180121199,0,Auto,0,23,17,1961,1088,143116,99055,7686.416666666667,0.923623511279254,7,44061,0.253532,0.2765456002695212,766.6109641952073,0.1539873539939773,0,51.0
2018-09-09,51,52241,628,Employed,Bachelor,26,25118,12,Widowed,0,Rent,1434,0.4476995325225973,4,2,0.0733975280864151,0,Auto,0,24,23,917,645,18952,37802,4353.416666666667,0.8439205716517408,7,4632,0.176118,0.1716838723390577,2292.888651003273,0.8560836088903212,0,48.0
2018-09-10,65,66407,579,Employed,Bachelor,42,44037,48,Married,1,Rent,235,0.2364061288432686,3,1,0.3872177261964307,0,Home,0,24,19,2825,1628,43020,11353,5533.916666666667,0.8152557776548154,5,31667,0.249537,0.2761222384388477,1525.028516701531,0.3180439140515062,0,54.0
2018-09-11,52,20071,565,Employed,High School,28,12684,36,Married,0,Rent,484,0.3345689133513748,3,2,0.1793966740372757,0,Education,0,33,7,6135,440,93068,38320,1672.5833333333333,0.8227522521140915,9,54748,0.215184,0.2478332295249719,502.8612117281425,0.59002214841003,0,51.0
2018-09-12,21,69356,589,Self-Employed,Master,0,18957,72,Widowed,1,Mortgage,530,0.3392535184817753,3,0,0.4834832689131746,0,Education,0,11,16,1945,769,9667,61996,5779.666666666667,0.9313762919629602,1,2166,0.239457,0.2175211856921156,473.5307313060402,0.1736312471260234,0,59.0
2018-09-13,34,31043,536,Employed,Bachelor,13,13424,96,Single,2,Mortgage,852,0.1648517978475679,1,0,0.4272706609557036,0,Debt Consolidation,0,25,19,2254,1243,52754,10360,2586.9166666666665,0.4602713584309764,1,42394,0.280424,0.2572740152972625,330.9964318295026,0.4572997835890227,0,56.0
2018-09-14,55,300000,509,Employed,Bachelor,32,18698,36,Married,3,Mortgage,1099,0.4277876848852618,2,0,0.0817340523215344,0,Other,1,26,5,8564,5654,239980,27790,25000.0,0.7676418028148881,7,212190,0.249198,0.2064501955013329,701.0451019582598,0.0720018040783303,1,42.400000000000006
2018-09-15,31,34233,599,Employed,Associate,5,26572,60,Widowed,0,Other,189,0.5801713272829614,6,1,0.3934759121333316,0,Auto,0,25,17,987,95,19661,15644,2852.75,0.7212052651584749,3,4017,0.232072,0.2292878455380897,747.9903767588675,0.3284516262409491,0,56.0
2018-09-16,45,81867,632,Employed,Master,20,35991,36,Married,0,Other,390,0.2243919717998011,1,0,0.291202109838133,0,Education,0,31,13,1014,1142,24707,4629,6822.25,0.9615760878406742,1,20078,0.204991,0.2231088494343096,1380.307790220469,0.2594903133453727,0,48.0
2018-09-17,49,79592,583,Self-Employed,Bachelor,25,17337,60,Married,3,Mortgage,290,0.1635140381464005,3,1,0.47058030912631,1,Other,0,27,29,1256,1395,390370,36001,6632.666666666667,0.729069826894548,6,354369,0.230837,0.2323905541931926,491.1223136005481,0.1177689687808646,1,51.2
2018-09-18,28,45466,589,Unemployed,Bachelor,5,31671,84,Single,0,Mortgage,256,0.3881664452652395,2,0,0.5857337818709185,1,Auto,1,19,15,3160,709,295715,36072,3788.8333333333335,0.8435637563957952,3,259643,0.262171,0.2553771604794591,812.5654158283506,0.282030198168746,0,74.0
2018-09-19,39,75932,530,Employed,Doctorate,14,29901,12,Single,2,Mortgage,350,0.1825249109874367,1,2,0.180458703155087,0,Debt Consolidation,0,17,20,4763,329,228464,157337,6327.666666666667,0.9664366433701548,6,71127,0.229901,0.2335392216872575,2818.0858506671966,0.5006720514145071,0,47.0
2018-09-20,18,160729,555,Employed,Master,0,22942,48,Widowed,2,Other,179,0.0437097902051561,3,0,0.2869856288516537,0,Other,0,18,1,4814,1667,58602,10820,13394.083333333334,0.9122160226640194,4,47782,0.240442,0.2640579814663558,778.7893623796523,0.0715083920671181,1,42.400000000000006
2018-09-21,27,29349,570,Employed,Bachelor,9,31897,96,Married,2,Mortgage,389,0.1479941767749165,5,2,0.0719280954556733,0,Other,0,29,4,11187,1186,56865,54858,2445.75,0.5459463775764613,2,2007,0.281897,0.3382764,966.1578162701564,0.5540868102913855,0,54.0
2018-09-22,36,15000,575,Employed,High School,16,16449,12,Married,1,Mortgage,195,0.272116971226163,4,0,0.0732499625221535,0,Other,0,26,29,587,1172,69490,143736,1250.0,0.6566031594823903,2,7278,0.193949,0.2156286869915251,1536.0755099871574,1.384860407989726,0,52.0
2018-09-23,25,22698,630,Employed,Doctorate,2,7604,36,Married,1,Mortgage,165,0.2216575065597782,5,2,0.3026516353790942,0,Education,0,22,8,3441,681,121192,18803,1891.5,0.7109753175819017,2,102389,0.177604,0.2038607933003422,284.08995013891774,0.2374252974564725,0,50.0
2018-09-24,59,117989,610,Employed,Doctorate,40,21413,48,Married,3,Own,642,0.2998318044591407,3,1,0.5411654235793019,0,Home,1,20,4,2737,303,65900,15765,9832.416666666666,0.6132940460147523,6,50135,0.211413,0.2012746013695579,653.0603922158974,0.1317133351972707,1,48.8
2018-09-25,22,28842,462,Employed,High School,1,23503,120,Single,2,Rent,255,0.4089824110262728,7,0,0.294992690597753,0,Auto,0,23,28,2048,1157,37410,12303,2403.5,0.6248431898887868,10,25107,0.347503,0.3342798432008018,679.8636346165658,0.3889592821371191,0,55.0
2018-09-26,34,197755,589,Employed,Associate,13,23464,24,Married,1,Rent,310,0.2097904179976681,6,0,0.3806598873841047,0,Debt Consolidation,0,27,26,1533,1145,15161,45400,16479.583333333332,0.76981833394127,7,7368,0.203964,0.2071007063140161,1202.3741023553075,0.091772593503394,1,41.6
2018-09-27,41,80502,588,Employed,Bachelor,19,51696,36,Married,2,Own,430,0.2302710467777223,4,1,0.2609069604025782,0,Home,0,25,17,4479,253,25948,87065,6708.5,0.901259720924612,4,2473,0.242696,0.2105622569508157,1949.1429813126647,0.354646043275347,0,51.0
2018-09-28,57,26541,617,Employed,High School,35,28122,48,Single,0,Mortgage,410,0.1124610557166761,2,2,0.1188167612684841,0,Auto,0,16,26,3388,79,117767,50710,2211.75,0.8729774658903148,7,67057,0.214622,0.2277465617103876,897.8830168969167,0.5913340191689461,0,46.0
2018-09-29,22,19683,578,Employed,High School,0,16797,96,Married,1,Own,339,0.1260465500160707,3,0,0.0771145970808973,0,Home,1,20,21,1128,1296,17621,28738,1640.25,0.8766508953485161,8,10776,0.262797,0.2606824604320592,417.99943161577096,0.4615146664324164,0,57.0
2018-09-30,53,45788,635,Employed,Bachelor,29,31589,24,Married,3,Mortgage,86,0.2279128675095257,3,0,0.3195737935541793,0,Education,0,23,12,12430,3377,99320,75842,3815.6666666666665,0.5640035753445708,6,23478,0.189089,0.1906701424783407,1593.3865037471464,0.4401292488199038,0,52.0
2018-10-01,40,16070,562,Unemployed,Doctorate,18,27411,96,Married,1,Other,371,0.1498378456572485,3,0,0.272989871352703,0,Debt Consolidation,0,17,2,1321,1003,108513,4811,1339.1666666666667,0.9508111297938352,9,103702,0.2814109999999999,0.2919530508030619,740.5761325663401,0.830050627927572,0,56.0
2018-10-02,28,42043,521,Employed,High School,6,28140,108,Married,0,Rent,470,0.2018527604178917,2,0,0.1170376016754305,0,Debt Consolidation,0,16,14,2373,6029,13431,47593,3503.583333333333,0.8428359877314809,4,1357,0.31264,0.375168,912.6040172290128,0.3946256976606843,0,51.0
2018-10-03,45,90083,581,Employed,Master,25,27462,36,Single,4,Own,433,0.4521564849934903,1,1,0.3213442693713205,0,Education,0,23,23,1362,596,72026,43396,7506.916666666667,0.9165326806528412,3,28630,0.221962,0.197088688486589,1016.5172026872266,0.1930908876507966,1,43.2
2018-10-04,42,28481,632,Unemployed,Master,17,12820,36,Married,0,Rent,412,0.0914950280432423,4,0,0.414573853629521,0,Debt Consolidation,0,20,27,2701,3032,13578,6641,2373.4166666666665,0.8107380803105276,9,6937,0.18182,0.1481006309757712,443.2180125642318,0.360332016107959,0,57.0
2018-10-05,32,16274,597,Employed,Master,11,15725,36,Widowed,1,Mortgage,503,0.2830381832097021,2,1,0.5140464303912863,0,Debt Consolidation,0,21,4,3453,1134,317610,19193,1356.1666666666667,0.5660694993145542,3,298417,0.202225,0.2027562398796989,586.6080734273089,0.8034470247712736,0,57.0
2018-10-06,40,25192,560,Employed,Associate,20,21634,36,Divorced,2,Mortgage,480,0.3718130643324897,4,1,0.3191351286892482,0,Auto,0,32,25,5336,2204,143091,57162,2099.333333333333,0.8970956032452401,7,85929,0.2266339999999999,0.2217482834569137,828.1702131391835,0.6231360176909416,0,54.0
2018-10-07,35,78101,526,Employed,Associate,12,14215,36,Married,4,Other,345,0.1645513663415042,7,0,0.156237431412694,0,Other,0,25,11,3210,212,28446,8541,6508.416666666667,0.5266906057329009,0,19905,0.236215,0.2380787531085732,556.262053626886,0.138476391384523,0,49.0
2018-10-08,41,73312,561,Employed,Associate,20,41720,24,Divorced,2,Mortgage,160,0.3848032298822951,5,1,0.3836320331236874,0,Auto,1,21,28,2477,1062,75346,19872,6109.333333333333,0.8700963245971415,2,55474,0.2362199999999999,0.2187725396396179,2161.82856418163,0.3800461421074252,0,58.0
2018-10-09,47,72434,613,Employed,Master,26,10034,72,Married,4,Own,839,0.217422470527538,2,1,0.1789421979186,0,Education,0,15,24,15952,207,36020,29176,6036.166666666667,0.4800244145954941,5,6844,0.2185339999999999,0.2097953300905161,246.07372130416945,0.179762054499959,1,37.6
2018-10-10,59,160132,634,Employed,Bachelor,36,21320,24,Single,3,Mortgage,474,0.3294739596357792,2,1,0.1650596079336031,0,Home,0,26,19,1426,422,30016,80918,13344.333333333334,0.8315528824230202,10,6854,0.17932,0.1823409115687345,1066.7948724416806,0.1154643573383219,1,36.0
2018-10-11,25,15000,534,Employed,High School,3,19820,60,Single,3,Rent,497,0.2521240615512209,1,1,0.238207171545896,0,Auto,0,32,20,2582,994,61743,14099,1250.0,0.7593092150133092,5,47644,0.25782,0.2720351532387511,607.62338270566,0.883698706164528,0,54.0
